UEN,TRUE_IE,$,account,accreditation,add card,add to bag,add to cart,advert,adwords,alipay,american express,android,animation,atome,auction,automat,automobile,award,b2b,b2c,bag,bank,big,bigcommerce,blog,book,breakfast,buy,car,card,career,carousell,cart,cash,cash back,cashback,casino,check out,client,cloud,complete,consultancy,consultation,contact,contact form,customer,cyber,data,dating,deals,deliver,deliveroo,develop,development,domain,e-store,e-ticket,e-wallet,ecommerce,email,emarketing,enets,enquiry,enrol,equipment,escort,estore,facebook,favepay,firewall,foodpanda,form,free,game,get in touch,gift card,giftcard,goods,google pay,grab,grabpay,hack,hangout,hoolah,hostel,hosting,hotel,housing,instagram,intelligence,interactive,investor relations,iphone,job,kiosk,lazada,learn,linkedin,log in,log out,login,machine,magazine,magento,mail,mailing,mailing list,managed,marketing,marketplace,mastercard,media,member,menu,message,mobile,movie,multimedia,music,name,network,news,news alert,newsletter,offers,online,online store,order,partners,password,pay,paylah,paylater,payment,paynow,paypal,phone number,platform,premium,price,privacy,product,projects,promotion,purchase,qoo10,recognition,recruit,rent,research,reserv,restaurant,return,review,risk,robot,s$,sale,science,seo,serie,server,service,sgd,shipping,shop,shop pay,shopee,shopify,shopping bag,sign in,sign out,sign up,singtel dash,skype,snapchat,social media,software,spyware,store,stream,subject,submit,subscri,supply,tablet,testimonial,ticket,tiktok,topup,transfer,travel,trial,tuition,tutor,tutorial,tv,twitter,unionpay,usd,username,video,virtual,virus,visa,vlog,voucher,vpn,wallet,web design,webdesign,what we do,wishlist,wix,woocommerce,youtube,predict,sum
198701264H,B,454,4,2,2,2,2,26,2,2,2,8,34,2,2,6,4,2,4,2,2,4,2,2,2,14,2,8,42,16,2,2,4,2,2,2,2,2,2,12,38,2,2,20,4,2,2,142,2,24,8,2,2,2,1652,2,2,4,2,30,2,2,2,2,2,2,2,8,2,2,2,214,2,138,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,8,2,2,2,4,6,2,2,28,2,2,2,40,2,2,2,2,2,4,16,46,120,10,30,150,2,4,142,6,14,2,2,2,4,2,662,4,38,6,2,2,2,2,6,2,2,2,8,20,62,2,2,2,2,2,2,110,2,6,2,218,50,4,4,2,10,2,2,2,32,1624,2,2,4,2,2,2,2,2,2,4,2,4,2,2,2,2,16,10,4,24,4,2,4,2,4,2,2,2,2,14,2,2,2,26,6,2,4,24,34,2,2,4,2,2,2,4,2,2,2,472,2,2,8,3.0,7369.0
198701453N,B,7,2,1,1,1,1,1,1,1,1,1,29,1,1,1,1,1,1,1,1,1,9,1,3,24,1,1,14,1,1,1,10,1,1,1,1,1,2,1,2,1,1,25,2,6,1,84,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,7,1,1,24,1,1,1,77,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,19,1,1,1,1,1,1,48,2,282,15,17,1,1,1,41,1,1,1,1,1,1,1,82,1,1,1,1,1,1,1,1,1,1,1,6,1,14,5,1,1,1,1,1,27,1,2,1,13,2,1,2,1,4,1,3,1,1,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,13,13,1,1,6,1,1,1,1,1,1,1,1,1,4,11,1,1,1,18,1,1,1,1,1,1,1,2,1,1,1,1,33,9,2.0,1283.0
198701916H,C,3,9,3,3,3,3,4,3,3,3,4,46,3,3,3,3,3,3,3,15,3,27,3,117,42,3,3,727,6,3,3,387,3,3,3,3,3,72,6,9,3,4,203,3,18,3,504,5,3,15,3,5,5,3,3,3,3,3,105,3,3,3,3,43,3,3,42,3,3,3,1074,185,51,8,3,3,3,3,3,3,3,3,3,3,3,3,3,52,3,4,3,3,6,3,3,6,36,3,3,9,4,3,3,217,3,3,3,35,3,3,232,3,7795,28,715,3,3,3,208,3,49,3,48,3,3,3,673,18,18,49,3,3,27,3,9,3,3,6,15,3,963,3,5,4,3,3,3,99,3,9,3,15,33,3,31,3,13,3,14,3,3,63,3,3,63,3,3,3,3,3,3,3,3,3,3,10,3,3,3,3,19,103,18,3,22,118,3,3,3,51,3,3,3,3,3,3,33,3,3,3,72,3,3,3,3,3,3,3,3,3,4,3,3,621,42,3.0,16839.0
198702783M,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
198703252G,B,1,5,1,1,1,1,1,1,1,1,3,18,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,8,1,1,1,1,1,1,1,1,1,1,1,2,1,1,11,1,1,1,179,1,1,2,1,1,1,1,1,1,1,1,18,1,1,1,1,1,1,1,3,1,1,1,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,1,16,1,1,1,20,1,1,1,1,1,1,54,56,555,5,51,1,1,1,43,1,7,1,1,1,1,1,54,1,7,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,18,1,8,1,9,2,1,4,1,1,1,2,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,2,1,1,1,17,1,1,1,1,1,6,2,1,1,12,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1469.0
198800025G,B,454,4,2,2,2,2,26,2,2,2,8,34,2,2,6,4,2,4,2,2,4,2,2,2,14,2,8,42,16,2,2,4,2,2,2,2,2,2,12,38,2,2,20,4,2,2,142,2,24,8,2,2,2,1652,2,2,4,2,30,2,2,2,2,2,2,2,8,2,2,2,214,2,138,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,8,2,2,2,4,6,2,2,28,2,2,2,40,2,2,2,2,2,4,16,46,120,10,30,150,2,4,142,6,14,2,2,2,4,2,662,4,38,6,2,2,2,2,6,2,2,2,8,20,62,2,2,2,2,2,2,110,2,6,2,218,50,4,4,2,10,2,2,2,32,1624,2,2,4,2,2,2,2,2,2,4,2,4,2,2,2,2,16,10,4,24,4,2,4,2,4,2,2,2,2,14,2,2,2,26,6,2,4,24,34,2,2,4,2,2,2,4,2,2,2,472,2,2,8,3.0,7369.0
198800388Z,B,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,22,5,1,1,12,1,1,1,1,1,9,1,2,1,1,9,1,1,1,229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,1,375,13,12,1,1,1,20,8,3,1,2,1,1,1,26,1,1,1,1,1,1,1,1,1,1,1,1,1,199,1,1,1,1,1,1,12,1,4,1,12,1,1,2,1,1,1,9,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,1,1.0,1298.0
198800546R,B,454,4,2,2,2,2,26,2,2,2,8,34,2,2,6,4,2,4,2,2,4,2,2,2,14,2,8,42,16,2,2,4,2,2,2,2,2,2,12,38,2,2,20,4,2,2,142,2,24,8,2,2,2,1652,2,2,4,2,30,2,2,2,2,2,2,2,8,2,2,2,214,2,138,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,8,2,2,2,4,6,2,2,28,2,2,2,40,2,2,2,2,2,4,16,46,120,10,30,150,2,4,142,6,14,2,2,2,4,2,662,4,38,6,2,2,2,2,6,2,2,2,8,20,62,2,2,2,2,2,2,110,2,6,2,218,50,4,4,2,10,2,2,2,32,1624,2,2,4,2,2,2,2,2,2,4,2,4,2,2,2,2,16,10,4,24,4,2,4,2,4,2,2,2,2,14,2,2,2,26,6,2,4,24,34,2,2,4,2,2,2,4,2,2,2,472,2,2,8,3.0,7369.0
198801211R,B,7,2,1,1,1,1,1,1,1,1,1,29,1,1,1,1,1,1,1,1,1,9,1,3,24,1,1,14,1,1,1,10,1,1,1,1,1,2,1,2,1,1,25,2,6,1,84,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,7,1,1,24,1,1,1,77,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,19,1,1,1,1,1,1,48,2,282,15,17,1,1,1,41,1,1,1,1,1,1,1,82,1,1,1,1,1,1,1,1,1,1,1,6,1,14,5,1,1,1,1,1,27,1,2,1,13,2,1,2,1,4,1,3,1,1,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,13,13,1,1,6,1,1,1,1,1,1,1,1,1,4,11,1,1,1,18,1,1,1,1,1,1,1,2,1,1,1,1,33,9,2.0,1283.0
198801314D,B,7,2,1,1,1,1,1,1,1,1,1,29,1,1,1,1,1,1,1,1,1,9,1,3,24,1,1,14,1,1,1,10,1,1,1,1,1,2,1,2,1,1,25,2,6,1,84,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,7,1,1,24,1,1,1,77,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,19,1,1,1,1,1,1,48,2,282,15,17,1,1,1,41,1,1,1,1,1,1,1,82,1,1,1,1,1,1,1,1,1,1,1,6,1,14,5,1,1,1,1,1,27,1,2,1,13,2,1,2,1,4,1,3,1,1,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,13,13,1,1,6,1,1,1,1,1,1,1,1,1,4,11,1,1,1,18,1,1,1,1,1,1,1,2,1,1,1,1,33,9,2.0,1283.0
198801762D,C,7,2,1,1,1,1,1,1,1,1,1,29,1,1,1,1,1,1,1,1,1,9,1,3,24,1,1,14,1,1,1,10,1,1,1,1,1,2,1,2,1,1,25,2,6,1,84,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,7,1,1,24,1,1,1,77,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,19,1,1,1,1,1,1,48,2,282,15,17,1,1,1,41,1,1,1,1,1,1,1,82,1,1,1,1,1,1,1,1,1,1,1,6,1,14,5,1,1,1,1,1,27,1,2,1,13,2,1,2,1,4,1,3,1,1,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,13,13,1,1,6,1,1,1,1,1,1,1,1,1,4,11,1,1,1,18,1,1,1,1,1,1,1,2,1,1,1,1,33,9,2.0,1283.0
198801769Z,C,454,4,2,2,2,2,26,2,2,2,8,34,2,2,6,4,2,4,2,2,4,2,2,2,14,2,8,42,16,2,2,4,2,2,2,2,2,2,12,38,2,2,20,4,2,2,142,2,24,8,2,2,2,1652,2,2,4,2,30,2,2,2,2,2,2,2,8,2,2,2,214,2,138,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,8,2,2,2,4,6,2,2,28,2,2,2,40,2,2,2,2,2,4,16,46,120,10,30,150,2,4,142,6,14,2,2,2,4,2,662,4,38,6,2,2,2,2,6,2,2,2,8,20,62,2,2,2,2,2,2,110,2,6,2,218,50,4,4,2,10,2,2,2,32,1624,2,2,4,2,2,2,2,2,2,4,2,4,2,2,2,2,16,10,4,24,4,2,4,2,4,2,2,2,2,14,2,2,2,26,6,2,4,24,34,2,2,4,2,2,2,4,2,2,2,472,2,2,8,3.0,7369.0
198802055W,B,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,10,2,2,2,2,2,2,2,24,2,2,14,14,2,2,2,2,2,2,2,2,8,2,4,2,2,38,2,2,2,228,2,2,2,2,8,6,2,2,2,2,2,8,2,2,2,2,2,2,2,20,2,2,2,97,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,8,2,2,2,8,2,2,2,2,2,2,27,2,252,18,82,2,2,2,53,8,2,2,2,2,2,2,163,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,25,2,4,3,10,4,2,32,2,2,2,4,2,2,8,2,2,11,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,8,2,2,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.0,1607.0
198802093G,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
198803534K,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,1,1,1,1,1,1,2,1,1,22,1,4,1,195,2,1,4,1,2,1,1,1,1,1,1,7,1,1,4,1,9,1,1,1,1,1,1,80,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,19,1,1,7,1,1,1,1,1,1,22,1,300,12,11,1,1,1,37,1,1,1,1,1,1,1,46,1,1,1,1,1,1,1,1,1,1,1,1,1,89,1,1,1,1,1,1,67,1,2,1,18,1,1,6,1,5,1,12,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1.0,1214.0
198803647K,B,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,2,2,8,2,2,2,2,2,2,2,2,2,6,2,5,2,2,24,4,2,2,222,2,2,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,2,2,2,2,2,2,91,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,2,4,2,2,2,20,2,2,2,16,2,2,65,6,163,12,13,2,2,2,35,2,2,2,2,2,7,2,30,2,2,2,2,2,2,2,2,2,2,3,4,2,8,4,2,2,2,2,2,25,2,4,2,12,2,2,8,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1217.0
198803822Z,B,454,4,2,2,2,2,26,2,2,2,8,34,2,2,6,4,2,4,2,2,4,2,2,2,14,2,8,42,16,2,2,4,2,2,2,2,2,2,12,38,2,2,20,4,2,2,142,2,24,8,2,2,2,1652,2,2,4,2,30,2,2,2,2,2,2,2,8,2,2,2,214,2,138,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,8,2,2,2,4,6,2,2,28,2,2,2,40,2,2,2,2,2,4,16,46,120,10,30,150,2,4,142,6,14,2,2,2,4,2,662,4,38,6,2,2,2,2,6,2,2,2,8,20,62,2,2,2,2,2,2,110,2,6,2,218,50,4,4,2,10,2,2,2,32,1624,2,2,4,2,2,2,2,2,2,4,2,4,2,2,2,2,16,10,4,24,4,2,4,2,4,2,2,2,2,14,2,2,2,26,6,2,4,24,34,2,2,4,2,2,2,4,2,2,2,472,2,2,8,3.0,7369.0
198804063C,B,454,4,2,2,2,2,26,2,2,2,8,34,2,2,6,4,2,4,2,2,4,2,2,2,14,2,8,42,16,2,2,4,2,2,2,2,2,2,12,38,2,2,20,4,2,2,142,2,24,8,2,2,2,1652,2,2,4,2,30,2,2,2,2,2,2,2,8,2,2,2,214,2,138,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,8,2,2,2,4,6,2,2,28,2,2,2,40,2,2,2,2,2,4,16,46,120,10,30,150,2,4,142,6,14,2,2,2,4,2,662,4,38,6,2,2,2,2,6,2,2,2,8,20,62,2,2,2,2,2,2,110,2,6,2,218,50,4,4,2,10,2,2,2,32,1624,2,2,4,2,2,2,2,2,2,4,2,4,2,2,2,2,16,10,4,24,4,2,4,2,4,2,2,2,2,14,2,2,2,26,6,2,4,24,34,2,2,4,2,2,2,4,2,2,2,472,2,2,8,3.0,7369.0
198804248Z,C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,2,22,2,2,2,22,2,2,2,2,2,2,10,4,2,2,24,2,2,2,38,2,2,2,2,2,2,4,2,2,2,10,8,2,2,2,2,2,2,6,4,2,2,2,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,2,2,2,10,2,2,2,2,2,2,38,2,230,12,8,2,2,2,24,2,10,2,2,2,2,2,22,2,2,8,2,2,8,2,2,2,2,2,2,2,38,2,2,2,2,2,2,26,2,4,2,14,8,2,2,2,10,2,2,2,2,2,2,4,14,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,34,2,2,2,4,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,200,2,3.0,1271.0
198804620E,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
198900616R,C,97,6,1,1,1,17,1,1,1,1,3,3,1,1,2,1,1,1,1,2,1,1,1,5,12,27,1,344,2,1,1,186,1,1,1,1,2,1,1,7,1,1,20,1,3,1,675,1,3,2,1,4,1,1,1,1,1,1,6,1,1,1,1,1,1,1,12,1,1,1,70,72,3,2,1,1,1,1,9,1,1,1,1,1,1,1,1,92,1,2,1,1,1,1,12,1,1,1,1,3,1,1,1,13,1,1,1,1,3,1,56,1,351,8,38,1,1,1,78,1,4,1,4,2,3,2,155,1,1,9,1,1,7,2,2,1,2,1,223,4,990,1,16,2,1,1,1,60,1,13,1,17,16,1,17,1,58,1,10,1,1,10,2,32,34,1,6,1,1,1,1,1,1,1,1,1,1,1,3,1,2,4,2,1,167,1,1,1,1,1,1,1,1,1,1,24,5,1,1,1,8,1,1,1,1,1,1,1,1,1,1,531,1,333,4,3.0,5177.0
198900710E,C,6,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,332,10,3,8,1,1,1,1,1,1,1,1,2,1,1,11,1,1,1,136,1,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,11,1,1,5,1,1,1,30,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,4,1,1,3,1,1,1,8,1,1,1,1,1,1,16,1,51,1,4,1,1,1,31,1,1,1,1,1,1,1,47,1,2,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,18,2,2,1,7,3,1,2,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,6,1,2,1,8,1,1,1,1,1,1,1,1,1,1,1,1,2,6,2.0,1023.0
198900842Z,B,454,4,2,2,2,2,26,2,2,2,8,34,2,2,6,4,2,4,2,2,4,2,2,2,14,2,8,42,16,2,2,4,2,2,2,2,2,2,12,38,2,2,20,4,2,2,142,2,24,8,2,2,2,1652,2,2,4,2,30,2,2,2,2,2,2,2,8,2,2,2,214,2,138,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,8,2,2,2,4,6,2,2,28,2,2,2,40,2,2,2,2,2,4,16,46,120,10,30,150,2,4,142,6,14,2,2,2,4,2,662,4,38,6,2,2,2,2,6,2,2,2,8,20,62,2,2,2,2,2,2,110,2,6,2,218,50,4,4,2,10,2,2,2,32,1624,2,2,4,2,2,2,2,2,2,4,2,4,2,2,2,2,16,10,4,24,4,2,4,2,4,2,2,2,2,14,2,2,2,26,6,2,4,24,34,2,2,4,2,2,2,4,2,2,2,472,2,2,8,3.0,7369.0
198901365C,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
198901708R,C,454,4,2,2,2,2,26,2,2,2,8,34,2,2,6,4,2,4,2,2,4,2,2,2,14,2,8,42,16,2,2,4,2,2,2,2,2,2,12,38,2,2,20,4,2,2,142,2,24,8,2,2,2,1652,2,2,4,2,30,2,2,2,2,2,2,2,8,2,2,2,214,2,138,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,8,2,2,2,4,6,2,2,28,2,2,2,40,2,2,2,2,2,4,16,46,120,10,30,150,2,4,142,6,14,2,2,2,4,2,662,4,38,6,2,2,2,2,6,2,2,2,8,20,62,2,2,2,2,2,2,110,2,6,2,218,50,4,4,2,10,2,2,2,32,1624,2,2,4,2,2,2,2,2,2,4,2,4,2,2,2,2,16,10,4,24,4,2,4,2,4,2,2,2,2,14,2,2,2,26,6,2,4,24,34,2,2,4,2,2,2,4,2,2,2,472,2,2,8,3.0,7369.0
198901708R,C,454,4,2,2,2,2,26,2,2,2,8,34,2,2,6,4,2,4,2,2,4,2,2,2,14,2,8,42,16,2,2,4,2,2,2,2,2,2,12,38,2,2,20,4,2,2,142,2,24,8,2,2,2,1652,2,2,4,2,30,2,2,2,2,2,2,2,8,2,2,2,214,2,138,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,8,2,2,2,4,6,2,2,28,2,2,2,40,2,2,2,2,2,4,16,46,120,10,30,150,2,4,142,6,14,2,2,2,4,2,662,4,38,6,2,2,2,2,6,2,2,2,8,20,62,2,2,2,2,2,2,110,2,6,2,218,50,4,4,2,10,2,2,2,32,1624,2,2,4,2,2,2,2,2,2,4,2,4,2,2,2,2,16,10,4,24,4,2,4,2,4,2,2,2,2,14,2,2,2,26,6,2,4,24,34,2,2,4,2,2,2,4,2,2,2,472,2,2,8,3.0,7369.0
198901708R,C,454,4,2,2,2,2,26,2,2,2,8,34,2,2,6,4,2,4,2,2,4,2,2,2,14,2,8,42,16,2,2,4,2,2,2,2,2,2,12,38,2,2,20,4,2,2,142,2,24,8,2,2,2,1652,2,2,4,2,30,2,2,2,2,2,2,2,8,2,2,2,214,2,138,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,8,2,2,2,4,6,2,2,28,2,2,2,40,2,2,2,2,2,4,16,46,120,10,30,150,2,4,142,6,14,2,2,2,4,2,662,4,38,6,2,2,2,2,6,2,2,2,8,20,62,2,2,2,2,2,2,110,2,6,2,218,50,4,4,2,10,2,2,2,32,1624,2,2,4,2,2,2,2,2,2,4,2,4,2,2,2,2,16,10,4,24,4,2,4,2,4,2,2,2,2,14,2,2,2,26,6,2,4,24,34,2,2,4,2,2,2,4,2,2,2,472,2,2,8,3.0,7369.0
198901787G,B,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,246.0
198904951C,B,454,4,2,2,2,2,26,2,2,2,8,34,2,2,6,4,2,4,2,2,4,2,2,2,14,2,8,42,16,2,2,4,2,2,2,2,2,2,12,38,2,2,20,4,2,2,142,2,24,8,2,2,2,1652,2,2,4,2,30,2,2,2,2,2,2,2,8,2,2,2,214,2,138,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,8,2,2,2,4,6,2,2,28,2,2,2,40,2,2,2,2,2,4,16,46,120,10,30,150,2,4,142,6,14,2,2,2,4,2,662,4,38,6,2,2,2,2,6,2,2,2,8,20,62,2,2,2,2,2,2,110,2,6,2,218,50,4,4,2,10,2,2,2,32,1624,2,2,4,2,2,2,2,2,2,4,2,4,2,2,2,2,16,10,4,24,4,2,4,2,4,2,2,2,2,14,2,2,2,26,6,2,4,24,34,2,2,4,2,2,2,4,2,2,2,472,2,2,8,3.0,7369.0
